fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,March,15,KARNATAKA,1503,BENGALURU RURAL,1850000,242.124607,49,425,1972.646077,5945,1,8004,1468250,259173,22512,80142,6539,108,5635.640619,29586,59701,43894,111510,2243,80997,199923,13949,3554.994543,689771,82,64.79,58.68,105.83,NA
2018-2019,March,15,KARNATAKA,1505,BALLARI,5550000,221.9948178,53,429,5038.964182,14334,1,12920,5818670,1281478,116061,1347262,124625,345.43016,18301.5402,109750,230345,155509,494037,15919,272994,843485,27254,12917.14586,2871970,64,70.21,77.76,119.38,NA
2018-2019,March,15,KARNATAKA,1507,VIJAYPURA,2900000,222.787945,44,278,4371.735787,11850,8,15590,2823142,544886,55362,36149,3819,280,10941.35583,62799,120594,102908,271670,5697,228185,608848,27440,6289.620046,1166200,67,59.91,64.18,145.7,NA
2018-2019,March,15,KARNATAKA,1509,CHIKKAMAGALURU,2250000,237.8288995,48,182,2109.225499,9398,0,14094,2350933,381647,39742,83297,8546,330,8030.423581,48218,95117,77750,192876,4240,141511,339065,23492,5591.198082,1086159,65,47.35,50.25,125.73,NA
2018-2019,March,15,KARNATAKA,1517,HAVERI,3800000,234.97749,48,326,4375.844562,9617,0,29189,3597834,496894,48199,403436,37293,264.92301,13094.8676,74908,146435,121807,316720,2084,210556,520307,38806,8454.100027,1577966,81,44.42,41.7,138.47,NA
2018-2019,March,15,KARNATAKA,1521,MANDYA,3100000,228.5284225,41,276,2505.701559,18973,0,19097,3076643,291692,42816,23015,2840,195.25,9731.955272,73768,127181,133554,330362,4335,273989,631629,38070,7031.003713,1473263,76,56.64,52.8,127.24,NA
2018-2019,March,15,KARNATAKA,1522,MYSURU,3000000,233.7291563,44,175,3736.133972,21330,1,16419,2825240,472260,70999,287574,42163,153.475,10493.01859,63694,125738,121954,334811,2794,256779,698226,37749,6603.409615,1374202,84,47.26,45.89,118.05,NA
2018-2019,March,15,KARNATAKA,1528,CHIKKABALLAPURA,2450000,234.6822696,47,1616,3166.363055,12207,0,14221,2510009,508331,53338,335978,34007,297.66,9354.569144,53022,100652,86729,232624,5223,180263,476432,26428,5890.546089,1210387,80,68.16,66.54,126.56,NA
2018-2019,March,15,KARNATAKA,1529,RAMANAGARA,4500000,201.4621236,65,270,6632.709,26098,1,15747,5438474,731879,46776,90065,4865,350,17939.17421,83430,162894,118992,294024,15935,166782,403985,41845,10956.46521,2637715,81,55.27,59.27,142.51,NA
2018-2019,Nov,15,KARNATAKA,1506,BIDAR,1224100,219.2974318,35,141,1676.320456,6551,1,15048,1214896,299151,52091,179692,28632,54.12439,4394.680573,34560,60114,80913,190035,79,138280,305931,21599,2664.235727,635708,77,72.12,54.14,120.41,NA
2018-2019,Nov,15,KARNATAKA,1516,HASSAN,3370664,225.0946614,42,465,7424.857861,15513,0,27463,3361777,461324,65615,59307,7284,250,15242.03842,79209,156417,152119,392073,1255,242392,598436,42976,7567.180556,1598589,76,40.38,35.88,103.57,NA
2018-2019,Nov,15,KARNATAKA,1530,Yadgir,1298340,228.9414316,32,109,1426.256744,4862,0,10683,1290762,253810,31615,143347,15798,200,4581.345745,39375,55541,74332,149889,115,171121,363072,15545,2955.089001,594944,66,71.6,69.57,100.17,NA
2018-2019,Sep,15,KARNATAKA,1505,BALLARI,2863732,224.3543259,35,325,3050.06156,9358,1,10096,2859050,661988,115980,689588,124569,206.92951,9671.393424,80101,163977,153658,492735,694,266595,833215,19454,6414.402354,1423731,65,78.34,83.26,100.22,NA
2018-2019,Sep,15,KARNATAKA,1512,DAVANAGERE,1510299,218.4140232,38,165,6383.511497,9700,0,15222,1503860,314382,75774,289610,55671,198.2,9866.352626,38804,79052,130262,334830,298,238082,580034,24922,3284.64113,695170,71,53.96,54.01,99.41,NA
2018-2019,Sep,15,KARNATAKA,1519,KOLAR,1303648,221.1490249,32,202,3744.179988,9111,0,16346,1300692,315223,81293,84058,19928,73.86763,6694.515294,39647,65320,104875,298264,112,201598,548124,25457,2876.467676,630895,77,61.44,52.73,105.55,NA
2018-2019,Sep,15,KARNATAKA,1524,SHIVAMOGGA,1012344,229.3594221,20,273,2055.372292,7172,0,15630,1011077,213013,82023,54227,18160,215,4589.372656,49158,81310,140826,367608,24,207475,506506,22802,2319.000364,508591,77,76.58,64.45,103.43,NA
2018-2019,Sep,15,KARNATAKA,1526,UDUPI,181560,235.595664,27,15,285.1958334,2503,1,6140,181445,10879,5074,8679,4469,9.9999,722.672286,6511,11854,27266,67835,15,64314,143718,8643,427.4765526,112529,94,89.69,41.55,106.69,NA
2018-2019,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1008703,242.751753,37,774,2422.991145,7972,0,13980,1002991,213521,55221,132011,35240,60,4917.769379,27033,50557,86474,240767,106,177424,481122,21952,2434.778235,480155,82,64.06,59.5,105.67,NA
2018-2019,Aug,15,KARNATAKA,1504,BELAGAVI,3322089,235.5542935,25,1544,8848.78661,20334,0,35682,3294890,377891,92710,254216,56655,360.015,16970.05647,126949,201714,301759,750574,184,597533,1386068,56016,7761.254862,1599312,79,63.59,48.84,106.76,NA
2018-2019,Aug,15,KARNATAKA,1530,Yadgir,611328,231.1439491,25,71,1228.133448,3154,0,9293,608626,117971,31093,64155,15447,200,2834.93562,24119,33719,71594,146644,26,166289,357058,12447,1406.802172,274743,63,76.05,71.59,100.06,NA
2018-2019,July,15,KARNATAKA,1506,BIDAR,620701,214.7960893,27,102,1509.205729,3803,1,15497,617010,157210,52503,93707,28588,54.12439,2888.643469,22171,38262,78336,190644,12,132827,302724,19300,1325.313351,322937,78,82.53,59.58,109.2,NA
2018-2019,July,15,KARNATAKA,1508,CHAMARAJA NAGARA,343204,217.8545357,22,93,1115.194422,1974,0,14197,342632,110583,61686,29521,20621,51.23447,1912.868245,15354,29116,76053,205230,1,154194,411265,16171,746.4393526,169323,80,63.3,44.16,105.96,NA
2018-2019,July,15,KARNATAKA,1509,CHIKKAMAGALURU,370250,233.7665019,24,51,1149.700931,3190,0,11887,368790,65115,40821,12888,8578,75,2086.808414,14974,28133,76237,196774,5,137466,339131,15077,862.1074824,172617,65,61.85,49.58,101.18,NA
2018-2019,July,15,KARNATAKA,1515,KALABURAGI,503992,236.1543822,21,53,1023.30091,1735,9,14099,501740,127984,83717,6707,4843,235.25,2443.431907,23093,38240,116236,317186,10,223836,583193,15834,1184.880997,275141,74,79.69,89.84,105.35,NA
2018-2019,July,15,KARNATAKA,1519,KOLAR,563543,207.9972998,23,128,2816.474442,5932,0,17026,562493,140378,81347,36835,19896,0,3986.444693,24125,38812,103552,298421,3,199128,546769,22958,1169.970252,271274,78,65.97,51.24,105.66,NA
2018-2019,July,15,KARNATAKA,1525,TUMAKURU,900574,233.1431283,25,217,5688.423497,12657,0,30772,897512,132622,71897,62621,37443,236.3,8017.211051,35825,65932,166042,447105,112,348103,912736,43429,2092.487554,439769,80,56.62,31.51,100.02,NA
