fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Aug,15,KARNATAKA,1501,BAGALKOTE,2191256,262.4641856,34,1063,2446.89936,3568,0,14767,2055457,299723,43103,121480,18116,20,7861.737836,60019,99402,107717,253382,274,198378,450035,18335,5394.838476,978384,63,54.99,65.21,104.24,NA
2019-2020,Aug,15,KARNATAKA,1507,VIJAYPURA,2549749,262.345441,38,321,4321.809236,6258,3,16898,2623124,488822,60879,31011,4223,70,11273.45546,67488,119570,122677,303541,284,243766,627847,23156,6881.646226,1102513,67,69.91,76.73,101.56,NA
2019-2020,Aug,15,KARNATAKA,1521,MANDYA,1049667,279.6642138,30,174,2421.549361,6822,0,14540,1445935,139542,42413,9815,2839,100,6565.31211,47471,78745,136060,335603,116,277023,636566,21362,4043.76275,718822,69,49.33,54.22,102.21,NA
2019-2020,Aug,15,KARNATAKA,1522,MYSURU,861895,263.52566,30,88,2008.539287,5741,0,14794,1068968,170920,69835,101647,41563,205.65994,5031.204205,34889,66930,125141,338944,89,263236,710595,20535,2817.004978,519430,82,44.09,42.13,108.45,NA
2019-2020,Aug,15,KARNATAKA,1524,SHIVAMOGGA,2520363,273.6212322,28,393,2347.763491,3986,0,15052,2059533,411779,80837,105349,17892,60,8043.083063,71605,121068,141228,366588,125,213863,516794,19038,5635.319572,1064923,71,74.27,78.21,102.24,NA
2019-2020,Aug,15,KARNATAKA,1525,TUMAKURU,2170758,267.0150262,36,486,5121.132021,14928,1,27686,2811241,357221,74387,180642,38549,200,12827.56791,76013,140964,180570,474269,414,365102,938211,42614,7506.435893,1383491,81,60.82,43.4,100.06,NA
2019-2020,Aug,15,KARNATAKA,1529,RAMANAGARA,1806205,307.0351572,47,209,5837.726807,10067,0,16594,2825624,376608,47417,50668,4948,0,14513.3859,59923,111824,122657,300379,492,169443,407746,26661,8675.659091,1377987,73,65.65,67.64,100.04,NA
2019-2020,July,15,KARNATAKA,1502,BENGALURU,46870,231.3719305,31,9,12.5499238,387,8,1966,45911,12473,7290,1890,733,15,133.7750908,1450,2865,9104,22872,0,46679,115723,2353,106.225167,23660,92,80.97,40.79,127.23,NA
2019-2020,July,15,KARNATAKA,1511,DAKSHINA KANNADA,468095,259.4437143,35,36,884.3142367,5400,0,14627,489395,32329,14899,29536,12052,0,2154.018802,13886,23950,60345,140642,84,126902,284973,20027,1269.704566,223441,88,53.06,38.26,100.54,NA
2019-2020,July,15,KARNATAKA,1513,DHARWAR,803018,259.5066485,28,90,1141.542784,1920,0,14781,839406,71930,17708,48481,11942,0,3319.857162,29179,53528,71732,203308,23,137827,362485,16701,2178.314378,353692,78,55.05,54.54,108.71,NA
2019-2020,July,15,KARNATAKA,1517,HAVERI,1438676,269.7345319,31,225,2412.861208,2485,0,30825,1590060,201261,49316,186785,38293,69.37942,6771.181526,49749,93435,126516,326168,43,214330,527180,33310,4288.940898,702954,82,40.17,47.59,104.75,NA
2019-2020,July,15,KARNATAKA,1520,KOPPAL,2130112,244.0209035,33,709,2296.995813,1965,0,14938,2638521,403573,73983,388055,64356,100,8835.538597,78421,151686,136401,433379,117,255117,807631,16903,6438.542784,1338105,70,77.11,77.39,101.85,NA
2019-2020,July,15,KARNATAKA,1522,MYSURU,718954,261.3138537,28,76,2007.339287,4566,0,15532,851221,137258,69711,78911,41462,47.5,4279.197685,30042,57525,124778,338270,49,262082,708437,20098,2224.358398,414705,82,47.26,41.33,108.38,NA
2019-2020,July,15,KARNATAKA,1527,UTTARA KANNADA,661459,329.9509164,25,74,722.7786997,2774,0,11691,635723,43679,15297,29028,8377,0,2820.352564,25018,40992,77822,199529,19,162130,389381,14465,2097.573864,311987,82,59.59,55.9,104.64,NA
2019-2020,July,15,KARNATAKA,1528,CHIKKABALLAPURA,970460,252.6783556,33,1060,1210.197789,2247,0,15941,1173559,241498,58898,147434,37689,0,4175.527373,35210,65368,96796,258971,89,182659,480116,18188,2965.329583,571589,77,67.57,73.27,101.04,NA
2019-2020,June,15,KARNATAKA,1503,BENGALURU RURAL,363018,249.6977686,26,170,730.292754,1600,1,10339,343604,60528,22980,18139,6718,0,1588.264275,12794,23780,45662,115047,18,81741,201063,11939,857.9715207,162779,84,64.79,59.86,100,NA
2019-2020,June,15,KARNATAKA,1510,CHITRADURGA,1753522,281.9479857,27,172,4369.53409,2848,0,25019,1793350,376062,104675,383577,95048,185,9610.848292,65436,115509,178615,472700,45,283065,720354,27867,5056.314202,915727,63,62.06,62.13,111.64,NA
2019-2020,June,15,KARNATAKA,1512,DAVANAGERE,1132116,299.0577454,34,134,3148.740662,2337,0,19000,1440049,291606,76833,260284,56507,85,7540.318735,41686,80565,135259,342948,177,248965,603735,21337,4306.578072,681953,66,57.64,60.78,100.86,NA
2019-2020,June,15,KARNATAKA,1513,DHARWAR,638621,252.2151878,25,76,1140.442784,1121,0,14801,620068,53213,17692,35333,11941,0,2704.348454,24733,44923,71567,203022,12,137517,361916,15922,1563.905671,261334,77,50.48,50.89,111.48,NA
2019-2020,June,15,KARNATAKA,1519,KOLAR,1393771,256.0273995,29,285,3162.038094,2464,1,16972,1361692,313679,83630,86169,19918,102.59746,6750.940171,45988,76452,112461,308591,26,210025,554538,19436,3486.304617,670989,77,72.17,62.04,101.32,NA
2019-2020,June,15,KARNATAKA,1521,MANDYA,696331,322.8073667,22,111,2415.127818,5334,0,14967,684605,69567,42338,5391,2834,100,4725.083191,30719,50092,135365,334483,20,275286,633653,20301,2209.955373,341974,70,49.06,52.08,101.7,NA
2019-2020,June,15,KARNATAKA,1526,UDUPI,140424,290.41941,26,10,102.3000414,713,1,5769,139671,6768,5026,4845,4554,50,557.9317356,5204,9305,29109,71909,14,68278,151478,6482,405.6316942,87723,95,86.64,65.83,101.39,NA
2019-2020,June,15,KARNATAKA,1530,Yadgir,581516,392.4220901,24,43,1759.019301,2978,0,9339,585528,101783,35306,56821,17700,200,4256.760517,23950,33279,87189,172292,12,184274,383354,12317,2297.741216,291828,68,75.69,74.73,99.82,NA
2019-2020,April,15,KARNATAKA,1510,CHITRADURGA,307336,512.8209976,14,45,6.3,1211,5,23637,304964,66250,104483,73470,94868,0,1570.219427,20585,34928,177350,470975,0,280673,716791,24848,1563.919427,157066,61,45.4,46.6,110.17,NA
2019-2020,April,15,KARNATAKA,1515,KALABURAGI,457381,443.5899825,14,130,34.8,1100,5,16224,454245,112621,93737,4694,5421,0,2049.785316,31006,49279,144144,363877,0,263568,646809,17324,2014.985316,258917,73,89.48,89.8,114.58,NA
2019-2020,April,15,KARNATAKA,1520,KOPPAL,328393,535.5587332,18,123,8.4,265,3,14488,325592,45498,73668,47309,64211,0,1752.136391,17397,31959,134019,430836,0,249835,799170,14753,1743.736391,168169,71,57.21,61.81,99.86,NA
2019-2020,April,15,KARNATAKA,1521,MANDYA,206216,471.0867924,14,60,0,1301,3,18116,205407,20339,42294,1883,2828,100,1067.645248,14105,22661,134968,333881,0,274456,632253,19417,967.6452476,100050,71,47.77,46.74,101.37,NA
2019-2020,April,15,KARNATAKA,1523,RAICHUR,1399112,263.1113613,23,170,0,1272,5,26371,1394616,233250,95419,288866,119133,0,3669.393142,60458,117861,205764,556859,0,264571,691201,27643,3669.393142,738082,66,63.77,79.01,99.88,NA
2019-2020,Feb,15,KARNATAKA,1501,BAGALKOTE,4029896,253.1708454,47,1350,4454.992364,8209,0,12344,3669721,549425,43462,204372,18207,155,13900.65604,76485,129324,109742,256832,8240,203008,457882,20553,9290.66368,1737934,62,46.58,59.51,104.3,NA
2019-2020,Feb,15,KARNATAKA,1519,KOLAR,3863919,252.4479579,54,456,7988.293067,10624,1,11773,4258010,982425,83855,255894,19970,296.63462,19034.18698,77568,133599,113814,310105,9593,214150,560197,22397,10749.25929,2112424,74,68.18,65.28,102.34,NA
2019-2020,Feb,15,KARNATAKA,1525,TUMAKURU,3992199,258.6997133,50,666,8562.288198,24036,7,24072,5125111,627511,74846,326176,38764,400,22220.93566,102398,191908,183060,478641,7354,390662,984735,48108,13258.64747,2502069,80,57.65,46.76,100.39,NA
2019-2020,March,15,KARNATAKA,1502,BENGALURU,110717,261.7944788,42,11,58.01997699,1206,6,1347,83713,21870,7295,2788,735,30,307.175989,1973,4005,9170,23013,17,46987,116346,2553,219.156012,42334,88,70.68,51.06,125.48,NA
2019-2020,March,15,KARNATAKA,1519,KOLAR,4139913,260.3209512,56,461,8557.153166,11724,1,10826,4444803,1027854,83759,267421,19963,296.63462,20424.54123,78619,135683,113801,309888,11259,214257,560042,22550,11570.75345,2204762,74,67.6,65.4,102.56,NA
2019-2020,March,15,KARNATAKA,1529,RAMANAGARA,3559025,288.2854275,70,303,13229.73255,17229,0,13286,6234947,828180,47604,105351,4969,150,31354.17616,88114,168416,123611,301916,17200,172306,412576,30515,17974.44361,3024406,72,68.9,70.83,100.03,NA
2019-2020,March,15,KARNATAKA,1530,Yadgir,1727276,283.6982034,45,140,2395.68667,7757,1,11520,2862047,550205,36325,294472,18148,200,10715.26259,62709,92021,90175,177359,5234,193346,398344,19277,8119.575919,1392493,70,71.31,72.38,100.23,NA
2019-2020,Jan,15,KARNATAKA,1509,CHIKKAMAGALURU,1835639,261.782722,48,180,3488.695226,6551,0,17485,2340325,343368,40889,68155,8487,180,9795.261713,48462,94966,83313,205697,1776,146182,347484,24036,6126.566488,1085683,59,59.24,70.33,101.46,NA
2019-2020,Jan,15,KARNATAKA,1514,GADAG,3541335,260.2406035,39,511,4324.392851,7754,0,12773,2931797,465266,50218,245010,23719,100,12054.11906,73775,145725,106736,294737,1689,145106,377640,20527,7629.726205,1336471,67,77.07,80.89,102.43,NA
2019-2020,Jan,15,KARNATAKA,1524,SHIVAMOGGA,4283376,267.7851502,34,445,3541.91778,6761,1,13778,2873848,540908,80900,137179,17919,151,11388.65596,84359,144807,141738,367490,2206,215133,519121,20539,7695.738184,1461622,70,70.17,75.33,103.01,NA
2019-2020,Jan,15,KARNATAKA,1526,UDUPI,359751,265.2360855,36,21,384.5983051,2455,1,4872,337875,18947,5041,14863,4598,50,1330.764729,9289,16658,29667,72982,222,70235,155558,7327,896.166424,212946,95,80.37,54.89,100.64,NA
2019-2020,Jan,15,KARNATAKA,1528,CHIKKABALLAPURA,1977216,245.1036303,50,1900,3259.705517,8033,1,14479,3052453,621570,59258,406777,37891,140,10881.37863,60993,115964,98235,261314,3192,185783,485843,22512,7481.673116,1488560,73,65.51,74.2,102.48,NA
2019-2020,Dec,15,KARNATAKA,1504,BELAGAVI,8408716,260.9918372,36,1674,11438.51147,14298,0,17099,6263266,597208,93726,487423,60144,480,28265.12447,173845,270049,329834,785382,5280,639777,1443552,31397,16346.613,3171364,73,48.91,58.84,107.32,NA
2019-2020,Dec,15,KARNATAKA,1509,CHIKKAMAGALURU,1684886,263.7166904,46,175,3488.695226,6180,0,17457,2199184,323169,40885,64402,8487,130,9418.310486,46964,91957,83258,205586,1253,145905,346938,23637,5799.615261,1020422,59,58.22,69.8,101.54,NA
2019-2020,Dec,15,KARNATAKA,1512,DAVANAGERE,2662154,291.573899,45,212,8014.268895,7894,0,15786,2747193,538649,77060,445173,56712,309,16333.36664,61009,119648,135924,343926,1590,250708,606866,23680,8010.097743,1288156,67,57.98,60.46,101.29,NA
2019-2020,Dec,15,KARNATAKA,1524,SHIVAMOGGA,3931601,269.8848947,32,435,3536.23314,6270,1,13907,2668360,506343,80893,128937,17917,151,10888.73372,81536,139473,141651,367329,1339,214688,518255,20177,7201.500576,1358556,70,70.68,75.71,103.17,NA
2019-2020,Nov,15,KARNATAKA,1508,CHAMARAJA NAGARA,2015252,263.8808414,43,307,4272.610493,8368,0,6717,2171337,538019,62873,195976,22514,0,10002.35284,50157,91703,87229,219057,402,169290,427197,15085,5729.742346,1088471,75,47.37,46.75,108.12,NA
2019-2020,Nov,15,KARNATAKA,1519,KOLAR,2991087,258.4205074,45,414,7358.743589,9344,1,12168,3253910,755949,83787,193605,19956,296.63462,16064.14894,71052,121096,113620,309763,332,213369,558742,21512,8408.770731,1612267,74,67.77,65.06,101.95,NA
2019-2020,Nov,15,KARNATAKA,1520,KOPPAL,3635447,268.3420406,43,862,6696.672597,4569,0,13418,3992250,600869,74104,585789,64415,200,17609.55771,92700,182059,137013,433925,730,258642,813016,17987,10712.88511,2000347,70,76.69,77.82,103.7,NA
2019-2020,Nov,15,KARNATAKA,1528,CHIKKABALLAPURA,1656277,255.3222596,44,1631,3247.549047,7363,1,13494,2371496,478169,59103,303665,37813,140,9442.50622,53097,100547,97876,260608,438,184757,483714,20857,6054.957174,1153369,75,65.01,74.11,101.83,NA
2019-2020,Nov,15,KARNATAKA,1530,Yadgir,1247957,300.7503646,35,91,2244.530337,5906,0,9508,1604563,302994,35966,166575,17960,200,7270.259409,45104,64408,88806,174961,538,188833,390197,15414,4825.729072,784189,69,77.34,78.04,99.96,NA
2019-2020,Sep,15,KARNATAKA,1501,BAGALKOTE,2536675,258.5906505,36,1124,2446.89936,4267,0,14417,2285519,337166,43216,136280,18148,20,8377.03781,63276,105303,108152,254056,320,199275,451437,18684,5910.13845,1084834,63,53.84,64.49,104.56,NA
2019-2020,Sep,15,KARNATAKA,1502,BENGALURU,65046,247.1634217,36,10,27.54232499,630,8,1822,62203,16821,7291,2431,733,15,196.2853882,1712,3458,9137,22937,1,46792,115917,2452,153.7430632,31743,89,76.8,46.71,126.18,NA
2019-2020,Sep,15,KARNATAKA,1503,BENGALURU RURAL,633485,247.2301284,37,261,1267.770477,3935,1,9178,728011,120412,23101,37201,6730,0,3067.633008,19258,36691,46265,115944,108,82980,203128,13113,1799.86253,343163,82,68.09,64.15,100.09,NA
2019-2020,Sep,15,KARNATAKA,1504,BELAGAVI,6240153,269.5862944,31,1524,8193.77854,9916,0,20667,4898444,466738,93544,371410,59585,200,21599.3122,157499,242461,327961,782352,304,635929,1437622,30583,13205.53366,2503666,73,50.51,58.72,106.3,NA
2019-2020,Sep,15,KARNATAKA,1513,DHARWAR,1114424,256.1698834,32,114,1822.156475,2902,0,14438,1052180,87282,17716,61710,11961,0,4517.524754,32756,60680,71852,203463,48,138077,362873,17340,2695.368279,441653,78,53.68,52.92,109.11,NA
2019-2020,Sep,15,KARNATAKA,1516,HASSAN,2221935,259.4126308,41,411,5472.424734,11515,0,23149,2976410,408836,64894,51607,7249,70,13263.60822,70949,137773,156042,396560,603,248016,604261,34664,7721.183484,1430309,76,51.01,46.34,104.45,NA
2019-2020,Sep,15,KARNATAKA,1517,HAVERI,1996588,272.9667175,35,247,4214.524525,3934,0,30474,1955333,255542,49366,227242,38332,69.37942,9621.312253,55538,105076,126849,326697,102,215088,528428,34408,5337.408307,863320,82,39.59,47.69,105.26,NA
2019-2020,Sep,15,KARNATAKA,1521,MANDYA,1215132,277.6915159,33,188,3290.555077,7450,0,14253,1722853,164598,42433,11633,2846,100,8174.771689,52090,86963,136374,336106,169,279705,641108,21703,4784.216612,849484,69,48.72,55.34,102.41,NA
2019-2020,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1346799,249.250163,40,1440,2302.516536,4752,0,15083,1863266,379762,58986,236486,37713,140,7086.710078,46472,87320,97362,259597,248,183670,481533,19835,4644.193542,906050,76,65.82,74.32,101.36,NA
2019-2020,Oct,15,KARNATAKA,1510,CHITRADURGA,3407215,277.0867142,41,282,10289.46273,10291,0,20666,3997837,816117,105091,875875,95506,585.66993,21952.60784,97176,173488,180120,474853,325,286328,725688,30957,11077.47518,2052571,64,59.83,60.82,113.99,NA
2019-2020,Oct,15,KARNATAKA,1515,KALABURAGI,3925484,302.5944174,33,287,2586.209361,5643,0,16005,2885911,692226,95707,45099,5467,250,11568.81494,85209,142221,151722,375584,200,278288,669674,21648,8732.605578,1548163,68,83.48,90.25,108.09,NA
2019-2020,Oct,15,KARNATAKA,1516,HASSAN,2474070,262.5839387,44,438,8656.09312,14173,0,20860,3279818,444487,64926,55360,7249,180,17448.36841,74417,145036,156167,396791,802,248428,605041,35033,8612.275285,1574381,76,51.92,47.7,104.8,NA
2019-2020,Oct,15,KARNATAKA,1517,HAVERI,2223152,269.513164,36,257,4982.473299,5498,0,29259,2145937,279161,49407,249421,38358,69.37942,10835.43542,58211,110513,126956,326915,139,215442,529117,34757,5783.582706,946817,82,40.2,47.62,105.47,NA
2019-2020,Oct,15,KARNATAKA,1526,UDUPI,272854,287.1400932,31,15,383.3642607,1976,1,4992,231665,12396,5039,9847,4571,50,1098.567358,7404,13274,29374,72386,33,69266,153483,6968,665.203097,144645,95,82.04,55.28,100.82,NA
2019-2020,Oct,15,KARNATAKA,1530,Yadgir,1129926,306.7174932,33,87,2244.530337,5746,0,8946,1410799,267669,35909,142971,17934,200,6771.697664,41815,59316,88643,174644,95,188403,389414,14692,4327.167327,692940,69,77.03,77.7,99.94,NA
2019-2020,May,15,KARNATAKA,1502,BENGALURU,28184,204.9005089,25,6,12.5499238,242,11,2028,27902,7790,7272,1176,733,0,69.7212638,1092,2118,9075,22804,0,46552,115481,2270,57.17134,14474,92,82,29.17,115.56,NA
2019-2020,May,15,KARNATAKA,1504,BELAGAVI,2388946,255.5603388,21,1056,2962.974821,3397,0,25489,2373658,215052,93084,188350,58919,0,9029.103248,109969,165087,323335,775891,34,628059,1426833,28886,6066.128426,1259611,73,46.66,54.49,103.27,NA
2019-2020,May,15,KARNATAKA,1505,BALLARI,3573205,213.81107,34,363,1910.022648,2245,1,16880,3370959,684191,126787,917264,137242,0,9117.506157,96867,197143,174758,545147,336,280531,856910,19125,7207.483508,1716578,59,87.24,90.3,100.07,NA
2019-2020,May,15,KARNATAKA,1510,CHITRADURGA,1048315,310.6696405,22,112,18.1,1900,1,24714,1042509,220831,104656,233490,95055,185,3441.858963,46401,80978,178101,472184,9,282084,719108,26614,3238.758963,533178,62,61.71,61.84,110.97,NA
2019-2020,May,15,KARNATAKA,1512,DAVANAGERE,858863,301.5880089,30,111,1649.429865,1553,0,19002,1041639,209624,76699,200103,56473,85,4875.888185,34362,66006,134991,342508,42,248382,602681,20555,3141.45832,492718,66,55.93,59.67,100.38,NA
2019-2020,May,15,KARNATAKA,1519,KOLAR,875796,262.474466,24,219,3158.538094,1397,1,17228,872102,203856,83545,57371,19905,102.59746,5550.180621,36252,59473,112039,308019,5,209136,553173,18625,2289.045067,429791,77,70,58.58,101.72,NA
2019-2020,Feb,15,KARNATAKA,1505,BALLARI,13817670,241.8040426,53,542,6945.681915,13143,1,11174,7176781,1563543,127331,1808825,137587,325,24624.4285,133980,282116,176649,547650,8396,286423,867289,24317,17353.74659,3623320,55,72.32,79.84,100.68,NA
2019-2020,Feb,15,KARNATAKA,1508,CHAMARAJA NAGARA,2603324,261.4904651,47,341,4543.191871,9780,0,5689,2571740,634457,62925,235547,22554,134.06093,11402.10769,54267,99358,87592,219706,1107,172523,432671,15469,6724.854888,1289469,75,49.29,47.3,107.58,NA
2019-2020,Feb,15,KARNATAKA,1511,DAKSHINA KANNADA,1032021,255.2734984,48,72,2288.385794,10794,0,13677,1211380,76283,14992,76058,12153,158.2,5538.917898,24865,44234,61674,143214,1836,130195,291541,24471,3092.332105,540556,88,57.01,45.32,100.42,NA
2019-2020,Feb,15,KARNATAKA,1520,KOPPAL,4696310,255.192101,49,913,7355.295393,7223,2,11648,4809354,719585,74058,700014,64406,200,19828.38691,98148,194794,137156,433766,3414,260310,815830,18871,12273.09151,2405645,70,74.2,75.24,104.97,NA
2019-2020,Feb,15,KARNATAKA,1522,MYSURU,1585095,252.1853989,40,148,4001.56566,11854,0,10158,2157563,325590,70119,207314,41926,205.65994,9648.284458,52775,102832,126676,342048,2040,269279,722786,22012,5441.058858,1042795,81,42.17,43.77,111.71,NA
2019-2020,Feb,15,KARNATAKA,1523,RAICHUR,14175669,249.3470478,58,606,9666.391951,24255,0,14661,10501914,1670285,98031,2212900,122848,140,35992.60447,178779,361377,216122,575551,18338,286519,731733,38916,26186.21252,5449601,63,72.1,81.17,100.41,NA
2019-2020,Feb,15,KARNATAKA,1524,SHIVAMOGGA,4635151,267.0130413,35,456,4339.544002,8405,1,12361,3051274,569450,80915,145558,17926,214.62,12701.46351,86291,148658,141855,367680,3033,215422,519607,20766,8147.299505,1550440,69,69.54,74.94,103.1,NA
2019-2020,Jan,15,KARNATAKA,1504,BELAGAVI,9161075,257.5127677,38,1742,11455.41111,15051,0,16670,7068288,665512,93776,559180,60223,480,30137.15517,181857,283306,330472,786458,8813,641970,1446962,31721,18201.74406,3609989,73,48.4,59.55,107.71,NA
2019-2020,Jan,15,KARNATAKA,1505,BALLARI,12769008,245.4985685,51,531,6595.799473,12013,1,11987,6831695,1485331,127326,1742615,137578,325,23692.5129,132105,277480,176609,547575,5504,285970,866358,24000,16771.71343,3452112,55,74.64,81.63,100.71,NA
2019-2020,Jan,15,KARNATAKA,1515,KALABURAGI,5175638,288.3840033,37,318,2599.909361,7809,0,15229,3536799,839873,96320,54229,5497,250,13049.4719,95168,158516,154134,379513,2002,285396,681349,23038,10199.56254,1882984,67,81.6,86.92,106.84,NA
2019-2020,Jan,15,KARNATAKA,1518,KODAGU,427719,244.7447557,44,90,702.075294,1548,0,2402,441853,33846,6593,20104,2949,80,1863.487339,9958,17530,21332,51707,551,66775,157647,3950,1081.412045,206220,61,41.03,46.05,120.85,NA
2019-2020,Jan,15,KARNATAKA,1523,RAICHUR,13099837,257.0973761,56,601,9158.857711,23025,0,14647,9933369,1586224,98014,2074785,122820,0,34697.28877,176725,356651,216018,575371,11082,285670,730103,37672,25538.43106,5158174,64,74.26,83,100.32,NA
2019-2020,Jan,15,KARNATAKA,1525,TUMAKURU,3689220,260.5734013,47,649,7560.639247,22803,7,24280,4726115,583992,74825,301719,38741,400,20275.63785,98961,185278,182896,478343,4580,389760,983009,47083,12314.9986,2310158,80,58.16,46.35,100.33,NA
2019-2020,Jan,15,KARNATAKA,1529,RAMANAGARA,3069659,279.9352484,64,281,11866.65004,16075,0,13551,5334572,704811,47603,89581,4969,150,26949.99742,82779,157507,123540,301829,10336,171829,411759,29626,14933.34738,2591379,71,68.25,70.42,100.03,NA
2019-2020,July,15,KARNATAKA,1506,BIDAR,1202117,253.4870542,32,195,2171.071072,4174,0,14752,1491100,355030,58555,223357,32902,71.04092,6021.857457,46502,77017,96641,216288,70,160851,342752,18926,3779.745465,787937,71,77.02,66.12,115.95,NA
2019-2020,July,15,KARNATAKA,1515,KALABURAGI,2540313,307.7847897,30,264,1575.7757,3004,0,17374,2302886,549089,95386,36972,5485,0,8663.708533,75736,125951,150055,373417,62,274418,664466,20378,7087.932833,1253136,69,89.3,93.71,110.17,NA
2019-2020,July,15,KARNATAKA,1526,UDUPI,176573,300.4499769,27,11,102.7000414,877,1,5721,160367,8155,5032,6219,4564,50,634.5226558,5732,10270,29194,72067,15,68627,152209,6598,481.8226144,100649,95,84.27,62.52,101.21,NA
