fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,5678.908905,10,2,294.9587188,844,39,38943,8065,1526,82685,814,84532,0,752.962722,738,1254,163333,395169,0,336960,789276,39787,458.0040032,4374,58,13.52,32.8,100,NA
2025-2026,April,15,KARNATAKA,1513,DHARWAR,157876,670.5637291,9,17,153.210558,2299,27,17246,26041,1903,16959,1825,13144,0,327.8320587,2825,4514,74273,194772,0,171516,406835,19545,174.6215007,13637,60,44.86,25.63,100,NA
2025-2026,April,15,KARNATAKA,1516,HASSAN,216446,796.825948,11,24,537.737962,2706,54,32233,39558,5863,61942,580,6282,0,852.9463705,3408,5886,149072,370650,0,283191,653444,34939,315.2084085,20653,66,22.04,31.18,100,NA
2025-2026,April,15,KARNATAKA,1520,KOPPAL,918654,1135.287721,8,123,181.1437378,704,21,24087,60887,12936,96606,5399,79305,0,872.3863722,6769,11469,218026,567033,0,323642,843010,24791,691.2426344,34934,53,14.06,71.86,100,NA
2025-2026,April,15,KARNATAKA,1527,UTTARA KANNADA,157923,424.2514144,7,10,74.79324908,676,74,16474,24703,1418,12417,944,7034,0,179.596076,3248,4735,76543,195032,0,205689,455832,17150,104.8028269,13966,74,32.27,40.74,100,NA
2025-2026,April,15,KARNATAKA,1528,CHIKKABALLAPURA,105298,452.1823236,11,185,243.7207409,1880,27,18882,71579,13770,62807,10030,39099,0,567.3883263,6239,10024,111641,281111,0,223929,534856,20762,323.6675854,38141,64,31.61,27.53,100,NA
2025-2026,April,15,KARNATAKA,1504,BELAGAVI,1169571,417.2351643,6,308,500.1337721,783,21,59946,213399,22656,92233,18621,74883,0,1390.50944,30621,38541,367485,802149,0,840459,1698479,60729,890.3756683,137923,44,35.22,74.28,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,234.7020365,9,32,81.73407065,58,33,6779,20854,3476,67664,8587,95860,0,130.6788333,2173,3890,112794,324059,0,173704,485303,6837,48.9447627,11607,37,53.29,93.87,100,NA
2025-2026,April,15,KARNATAKA,1523,RAICHUR,1291197,3125.037096,9,10,314.0590807,328,32,39001,18722,2033,123206,2106,153143,0,899.1285259,1940,3270,278113,650419,0,378604,849565,39329,585.0694452,10420,50,24.93,54.2,100,NA
2025-2026,April,15,KARNATAKA,1529,RAMANAGARA,176716,2201.1009,10,0,231.7616456,2486,40,25639,6589,1183,41308,25,4366,0,376.7921839,617,925,120547,270325,0,201838,429002,28125,145.0305383,3708,78,39.3,33.53,100,NA
2025-2026,April,15,KARNATAKA,1506,BIDAR,284739,3744846.221,4,0,144.5007629,903,60,41946,8,8,77616,0,52924,0,444.0884606,2,4,153770,304309,0,266109,496969,42849,299.5876977,4,54,82.7,8.42,0,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,653.0511532,8,30,156.6337127,464,14,10879,48551,11462,59814,7223,40565,0,473.6965781,5776,8896,109276,259173,0,240566,528379,11343,317.0628654,25597,64,39.96,23.34,100,NA
2025-2026,April,15,KARNATAKA,1513,DHARWAR,157876,652.744404,8,11,153.210558,2296,33,17236,19814,1584,16959,1390,13135,0,282.5453342,2220,3516,74265,194745,0,171506,406807,19532,129.3347762,10414,60,42.66,23.28,100,NA
2025-2026,April,15,KARNATAKA,1523,RAICHUR,1291197,24389.48122,9,2,314.0590807,257,46,38825,2289,548,123194,236,153099,0,872.3343059,237,433,278097,650328,0,378294,848901,39082,558.2752252,1158,50,52.19,5.86,100,NA
2025-2026,April,15,KARNATAKA,1526,UDUPI,89855,393.4374379,9,5,35.06080495,223,29,8388,18504,1028,5220,481,5214,0,107.8624684,1868,2830,39618,95203,0,125424,255562,8611,72.8016635,12489,88,81.2,4.4,100,NA
2025-2026,April,15,KARNATAKA,1501,BAGALKOTE,438789,652.4749137,8,75,205.259629,725,47,14184,23353,3879,52959,1411,24010,0,357.6320956,2644,3993,137605,307376,0,276774,560298,14909,152.3724666,13216,52,30.92,25.15,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,1096.628741,11,2,81.73407065,55,44,6595,3280,503,67580,956,95792,0,117.7034933,292,552,112748,323769,0,173563,484803,6650,35.9694227,1678,38,74.95,11.64,100,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,548.1709823,8,32,156.6337127,466,14,10879,58208,12780,59814,9475,40571,0,475.7130781,6815,10639,109285,259194,0,240567,528380,11345,319.0793654,30597,64,37.73,29.61,100,NA
2025-2026,April,15,KARNATAKA,1520,KOPPAL,918654,1363.950075,9,95,181.1437378,700,22,24089,48261,10871,96578,4589,79303,0,839.3996835,5341,9212,217993,566944,0,323637,842983,24789,658.2559457,27135,53,17.21,66.5,100,NA
2025-2026,April,15,KARNATAKA,1525,TUMAKURU,179928,633.7175903,11,24,695.5410623,2570,71,43630,54139,6180,72348,4207,38147,0,1038.629429,4795,8326,195703,470876,0,404564,892838,46200,343.0883662,27826,65,22.16,15.04,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,0,0,0,81.73407065,5,66,6357,0,0,67639,0,95771,0,90.15016345,0,0,112740,323782,0,172667,483116,6362,8.4160928,0,39,0,0,0,NA
2025-2026,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,171383,124356.625,1,0,111.5016603,34,86,16419,16,2,67232,0,24949,0,131.3987203,10,16,97298,232028,0,224803,516042,16453,19.89706,10,65,0,0,0,NA
2025-2026,April,15,KARNATAKA,1511,DAKSHINA KANNADA,101087,0,0,0,63.87874316,80,168,12267,0,0,8615,0,8724,0,63.96599316,0,0,55517,130157,0,172013,361814,12347,0.08725,0,87,59.33,0,0,NA
2025-2026,April,15,KARNATAKA,1513,DHARWAR,157876,0,0,0,153.210558,52,89,18339,0,0,16931,0,13134,0,188.2361936,0,0,74183,194542,0,171359,406496,18391,35.0256356,0,59,0,0,0,NA
2025-2026,April,15,KARNATAKA,1516,HASSAN,216446,0,0,0,547.6021654,185,167,34616,0,0,61855,0,6273,0,588.2733669,0,0,148940,370347,0,283073,653230,34801,40.6712015,0,66,0,0,0,NA
2025-2026,April,15,KARNATAKA,1517,HAVERI,343669,0,0,0,405.6545197,123,168,22942,0,0,49243,0,40244,0,444.1388357,0,0,139855,344290,0,274314,623656,23065,38.484316,0,53,0,0,0,NA
2025-2026,April,15,KARNATAKA,1518,KODAGU,35041,0,0,0,79.27096413,0,59,4046,0,0,5367,0,2677,0,84.42034913,0,0,22728,54403,0,88328,191505,4046,5.149385,0,76,0,0,0,NA
2025-2026,April,15,KARNATAKA,1521,MANDYA,106586,0,0,0,116.7798521,41,195,20421,0,0,32797,0,1947,0,146.6450368,0,0,114940,279810,0,345462,740456,20462,29.8651847,0,70,100,0,0,NA
2025-2026,April,15,KARNATAKA,1529,RAMANAGARA,176716,0,0,0,243.2878499,84,94,27927,0,0,41297,0,4364,0,275.0731694,0,0,120527,270265,0,201795,428905,28011,31.7853195,0,77,0,0,0,NA
2025-2026,April,15,KARNATAKA,1530,Yadgir,215806,0,0,0,42.22694184,112,89,25533,0,0,62441,0,35433,0,69.12995034,0,0,146724,297484,0,278391,554834,25645,26.9030085,0,69,0,0,0,NA
2025-2026,April,15,KARNATAKA,1515,KALABURAGI,573044,0,0,0,130.1387615,106,118,37503,0,0,129820,0,10237,0,395.5285547,0,0,227094,506050,0,431415,900617,37609,265.3897932,0,61,0,0,0,NA
2025-2026,April,15,KARNATAKA,1520,KOPPAL,918654,0,0,0,181.1437378,286,49,24600,0,0,96417,0,79240,0,627.0197738,0,0,217797,566109,0,323328,841904,24886,445.876036,0,53,21.2,23.6,0,NA
2025-2026,April,15,KARNATAKA,1526,UDUPI,89855,0,0,0,35.06080495,66,84,8462,0,0,5213,0,5198,0,50.27959245,0,0,39489,94920,0,125288,255260,8528,15.2187875,0,88,0,100,0,NA
2025-2026,April,15,KARNATAKA,1503,BENGALURU RURAL,124172,246.4712806,9,21,201.5887891,180,26,7807,20482,2476,21581,1898,7570,0,252.0710368,2061,3155,52121,123122,0,122110,265461,7987,50.4822477,10613,57,49.42,15.07,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,5044.184761,12,0,81.73407065,49,51,6494,586,94,67581,220,95786,0,111.2929933,48,88,112741,323726,0,173440,484518,6543,29.5589227,297,38,77.05,0,0,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,809.3910907,8,21,156.6337127,463,27,10876,32375,7252,59797,5193,40562,0,418.6740783,3976,6041,109242,259080,0,240562,528339,11339,262.0403656,17200,64,33.65,25.34,100,NA
2025-2026,April,15,KARNATAKA,1514,GADAG,896953,10223.11154,8,0,70.80270985,149,40,12685,934,218,52074,159,24822,0,166.2865717,108,164,115073,295763,0,167360,398316,12834,95.4838618,591,66,9.33,3,100,NA
2025-2026,April,15,KARNATAKA,1526,UDUPI,89855,353.3471337,9,2,35.06080495,191,58,8398,8914,611,5220,160,5207,0,66.55816845,973,1422,39581,95116,0,125405,255512,8589,31.4973635,6131,88,82.85,5.14,100,NA
2025-2026,April,15,KARNATAKA,1528,CHIKKABALLAPURA,105298,731.6563538,11,70,243.7207409,1870,47,18886,19900,3171,62744,2547,39092,0,389.3203553,1713,2798,111549,280893,0,223911,534810,20756,145.5996144,10565,64,31.75,28.41,100,NA
2025-2026,April,15,KARNATAKA,1531,VIJAYANAGARA,873523,3688.302781,6,17,392.4696381,348,9,14687,9883,3587,111148,1374,91537,0,756.9846019,1424,2303,168853,447439,0,253097,651646,15035,364.5149638,5290,49,4.28,62.31,100,NA
2025-2026,April,15,KARNATAKA,1509,CHIKKAMAGALURU,154869,45749.86068,8,0,400.4796604,1294,71,18369,307,8,38946,18,7856,0,540.9317327,38,68,85589,211062,0,179585,401228,19663,140.4520723,159,68,7.29,3.55,100,NA
2025-2026,April,15,KARNATAKA,1511,DAKSHINA KANNADA,101087,1571.454545,2,0,63.75628316,712,158,11637,44,2,8615,13,8726,0,64.44772316,18,23,55519,130182,0,172082,361981,12349,0.69144,18,87,57.96,10.66,100,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,77266.37207,4,0,156.6337127,390,49,10887,241,72,59754,109,40544,0,342.8456694,59,72,109158,258881,0,240519,528229,11277,186.2119567,136,64,19.32,3.71,100,NA
2025-2026,April,15,KARNATAKA,1519,KOLAR,233197,13890.27852,2,5,355.3144328,1103,39,21345,1193,278,76494,40,19891,0,521.0254555,595,1045,115013,288508,0,245919,584165,22448,165.7110227,608,48,22.47,28.76,100,NA
2025-2026,April,15,KARNATAKA,1525,TUMAKURU,179928,724096.2628,4,0,695.5410623,1723,120,44344,29,3,72313,2,38126,0,905.5289785,7,11,195587,470565,0,404413,892478,46067,209.9879162,14,65,65.54,0,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,0,0,0,81.73407065,30,55,6332,0,0,67642,0,95840,0,103.4128388,0,0,112739,323899,0,173056,483982,6362,21.6787682,0,39,0,0,0,NA
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,0,0,0,294.9587188,335,62,39623,0,0,82664,0,84458,0,605.7784172,0,0,163286,395053,0,336889,789115,39958,310.8196984,0,58,7.87,92.13,0,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,769077.9533,3,0,156.6337127,341,60,10933,21,3,59743,9,40543,0,318.1400829,7,7,109152,258862,0,240505,528184,11274,161.5063702,18,64,64.85,32.78,0,NA
2025-2026,April,15,KARNATAKA,1513,DHARWAR,157876,1900285.675,4,0,153.210558,1658,60,17701,4,0,16938,0,13134,0,229.221985,1,4,74187,194575,0,171407,406618,19359,76.011427,3,60,7.22,1.05,0,NA
2025-2026,April,15,KARNATAKA,1516,HASSAN,216446,0,0,0,537.737962,1532,102,33326,0,0,61881,0,6275,0,732.8164071,0,0,148991,370449,0,283120,653290,34858,195.0784451,0,66,7.57,0.39,0,NA
2025-2026,April,15,KARNATAKA,1523,RAICHUR,1291197,219267.7862,3,0,314.0590807,95,63,37473,174,24,123117,4,153047,0,695.5850287,56,120,278012,650030,0,377136,846531,37568,381.525948,86,52,0,0,0,NA
2025-2026,April,15,KARNATAKA,1524,SHIVAMOGGA,252823,6204.635686,4,1,143.1896847,414,143,7665,598,40,77304,64,17065,0,180.2934061,120,209,129715,337315,0,249441,572825,8079,37.1037214,262,69,50.42,29.23,0,NA
2025-2026,April,15,KARNATAKA,1526,UDUPI,89855,0,0,0,35.06080495,83,82,8446,0,0,5213,0,5198,0,51.01249245,0,0,39489,94923,0,125305,255305,8529,15.9516875,0,88,14.76,85.24,0,NA
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,1320.248655,9,13,294.9587188,2187,19,36944,43675,7317,82688,7499,84529,0,871.5773187,4591,7236,163355,395279,0,337055,789484,39131,576.6185999,23912,58,26.78,52.99,100,NA
2025-2026,April,15,KARNATAKA,1511,DAKSHINA KANNADA,101087,330.4802213,15,9,63.75628316,1263,2,11167,57028,2184,8629,2613,8734,0,252.2225438,3652,6016,55604,130377,0,172207,362254,12430,188.4662606,29044,87,83.51,78.14,100,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,430.4310196,11,70,156.6337127,695,3,10686,149942,32229,59961,24416,40622,0,802.0305921,13296,21061,109440,259624,0,240620,528562,11381,645.3968794,78524,64,40.99,78.62,100,NA
2025-2026,April,15,KARNATAKA,1514,GADAG,896953,439.7372011,10,100,70.80270985,198,21,12800,58245,9404,52174,6017,24899,0,326.9276427,5606,10379,115268,296608,0,167670,399355,12998,256.1249328,27679,65,34.64,74.07,100,NA
2025-2026,April,15,KARNATAKA,1515,KALABURAGI,573044,306.6983492,8,84,130.1387615,905,48,37657,254347,51824,130509,6677,10322,0,910.2168117,31286,49660,228004,509017,0,432936,904709,38562,780.0780502,143379,60,39.96,94.66,100,NA
2025-2026,April,15,KARNATAKA,1517,HAVERI,343669,567.9508077,11,35,387.3017618,1602,33,21439,76140,9851,49300,9696,40272,0,819.7395068,6782,11427,140049,344570,0,280472,630046,23041,432.437745,38350,53,27.76,62.72,100,NA
2025-2026,April,15,KARNATAKA,1530,Yadgir,215806,319.7292394,8,175,11.52286384,1269,3,26258,209243,41819,62913,24008,35829,0,680.5339162,24443,35036,147725,300087,0,279818,558390,27527,669.0110524,121330,68,34.42,99.88,100,NA
2025-2026,April,15,KARNATAKA,1509,CHIKKAMAGALURU,154869,439.6404788,14,31,400.4796604,3242,4,16291,124393,17529,39061,7508,7932,0,947.3616412,8683,14878,85829,211604,0,179668,401418,19533,546.8819808,63856,69,63.37,80.36,100,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,426.0046137,12,87,156.6337127,748,2,10645,189833,41375,60038,31406,40637,0,965.331051,15258,24328,109514,259795,0,240663,528670,11393,808.6973383,99371,64,40.67,80.98,100,NA
2025-2026,April,15,KARNATAKA,1513,DHARWAR,157876,398.4340331,12,47,153.210558,2789,7,17041,102304,7293,17018,6053,13197,0,560.8245112,8490,13977,74485,195247,0,171629,407028,19830,407.6139532,51002,61,45.35,76.76,100,NA
2025-2026,April,15,KARNATAKA,1519,KOLAR,233197,367.9715094,12,322,355.3144328,1980,1,20062,339434,81782,76888,18303,19971,0,1604.334846,27462,40261,115656,289909,0,246015,584225,22042,1249.020413,182677,50,51.67,80.45,100,NA
2025-2026,April,15,KARNATAKA,1520,KOPPAL,918654,518.0480721,11,326,181.1437378,1346,6,23472,247201,45922,96891,33926,79444,0,1461.763752,21334,39339,218420,568077,0,324025,843956,24818,1280.620015,134826,53,21.24,86.75,100,NA
2025-2026,April,15,KARNATAKA,1522,MYSURU,129845,644.4529052,13,23,155.4074495,1475,10,21524,82060,12697,55099,10453,33558,0,684.2455035,6177,10221,113440,292883,0,349931,850064,22999,528.838054,43984,74,28.23,53.26,100,NA
2025-2026,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,171383,452.3486512,12,77,111.5016603,263,6,16052,124889,35522,67696,9318,24903,0,676.4353673,10239,15470,97804,233210,0,224922,516329,16315,564.933707,70604,66,19.59,73.95,100,NA
2025-2026,April,15,KARNATAKA,1511,DAKSHINA KANNADA,101087,337.1957796,18,11,63.75628316,1482,0,10956,72301,2696,8629,3321,8735,0,307.5522038,3975,6579,55627,130431,0,172258,362384,12438,243.7959206,37153,87,84.75,79.65,100,NA
2025-2026,April,15,KARNATAKA,1516,HASSAN,216446,448.7256314,13,64,537.737962,3944,12,31160,211940,27093,62049,4802,6322,0,1488.767065,15336,26898,149318,371239,0,283288,653657,35104,951.0291032,109275,66,37.04,67.15,100,NA
2025-2026,April,15,KARNATAKA,1518,KODAGU,35041,472.4389107,14,13,79.27096413,135,4,3979,20095,1357,5369,684,2682,0,174.2075632,1403,2266,22808,54598,0,88378,191644,4114,94.9365991,10020,76,54.14,64.78,100,NA
2025-2026,April,15,KARNATAKA,1523,RAICHUR,1291197,709.655627,10,56,314.0590807,470,5,39949,127456,25271,123293,34627,153330,0,1218.557757,12226,22193,278389,650994,0,379456,851211,40419,904.4986759,69834,49,34.87,81.78,100,NA
2025-2026,April,15,KARNATAKA,1526,UDUPI,89855,375.1564401,14,7,35.06080495,373,1,8347,54583,2500,5231,2222,5251,0,239.8324446,3660,5651,39802,95634,0,125604,255967,8720,204.7716397,35961,88,82.04,81.93,100,NA
2025-2026,April,15,KARNATAKA,1502,BENGALURU,3073,281.1685083,11,0,16.85159109,63,53,1197,1086,280,2364,0,283,0,19.90508109,92,142,5291,11865,0,63015,140973,1260,3.05349,594,80,56.28,38.51,100,NA
2025-2026,April,15,KARNATAKA,1509,CHIKKAMAGALURU,154869,433.7717364,14,33,400.4796604,3606,2,15930,136415,18708,39066,8351,7937,0,992.2093746,9240,15784,85851,211638,0,179675,401425,19536,591.7297142,70200,69,62.35,79.82,100,NA
2025-2026,April,15,KARNATAKA,1517,HAVERI,343669,495.4303332,12,76,387.3017618,1869,20,21211,125995,18161,49305,16368,40288,0,1011.51921,10378,17806,140121,344702,0,282065,631713,23080,624.2174483,63050,53,30.73,67.26,100,NA
2025-2026,April,15,KARNATAKA,1522,MYSURU,129845,643.0585831,13,23,155.4074495,1615,7,21387,88599,13844,55105,11380,33552,0,725.1509235,6493,10741,113449,292892,0,350026,850214,23002,569.743474,47654,74,28.57,54.27,100,NA
2025-2026,April,15,KARNATAKA,1524,SHIVAMOGGA,252823,321.5255634,10,150,143.1896847,708,2,7595,237862,45926,77585,14057,17107,0,907.9768203,22718,34863,130194,338616,0,249702,573551,8303,764.7871356,132442,68,35.01,76.43,100,NA
2025-2026,April,15,KARNATAKA,1527,UTTARA KANNADA,157923,364.6250735,11,31,74.79324908,989,3,16238,104959,5920,12468,3601,7071,0,457.50008,9209,14101,76794,195517,0,205738,455878,17227,382.7068309,57527,74,31.72,74.85,100,NA
2025-2026,April,15,KARNATAKA,1528,CHIKKABALLAPURA,105298,377.3378959,13,614,243.7207409,2070,3,18948,259050,50807,63039,34631,39256,0,1221.21456,19128,30816,112005,282015,0,223993,535084,21018,977.4938192,136963,64,32.79,68.85,100,NA
2025-2026,April,15,KARNATAKA,1529,RAMANAGARA,176716,675.1834302,12,7,231.7616456,2796,12,25282,39068,4648,41331,271,4367,0,495.5423081,3107,4579,120568,270386,0,201876,429089,28078,263.7806625,21155,78,37.68,43.54,100,NA
2025-2026,April,15,KARNATAKA,1503,BENGALURU RURAL,124172,359.6171475,13,150,201.5887891,400,1,7691,107138,14629,21631,7407,7585,0,586.8754086,7659,12109,52230,123388,0,122138,265525,8091,385.2866195,55059,58,46.98,64.01,100,NA
2025-2026,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,171383,452.4541328,12,100,111.5016603,311,4,16026,165679,50257,67723,13078,24955,0,861.1231429,12815,19495,97873,233383,0,224952,516397,16337,749.6214826,93015,66,19.35,75.84,100,NA
2025-2026,April,15,KARNATAKA,1509,CHIKKAMAGALURU,154869,410.9639939,16,45,400.4796604,3688,0,15859,183090,26595,39051,11170,7943,0,1152.913637,11070,18922,85880,211702,0,179691,401465,19547,752.4339764,94042,69,63.73,79.93,100,NA
2025-2026,April,15,KARNATAKA,1512,DAVANAGERE,301026,406.1872019,15,99,156.6337127,906,0,10450,280609,64700,60207,45568,40683,0,1296.431558,18692,29736,109640,260192,0,240759,528980,11356,1139.797846,148578,64,38.82,83.81,100,NA
