fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,0,0,0,81.73407065,24,60,6338,0,0,67636,0,95792,0,98.86712345,0,0,112740,323802,0,172833,483452,6362,17.1330528,0,39,0,0,0,NA
2025-2026,April,15,KARNATAKA,1506,BIDAR,284739,0,0,0,144.5007629,163,114,42311,0,0,77460,0,52880,0,271.7889984,0,0,153587,303788,0,265341,495363,42474,127.2882355,0,54,35.81,22.72,0,NA
2025-2026,April,15,KARNATAKA,1509,CHIKKAMAGALURU,154869,0,0,0,400.4796604,258,95,19402,0,0,38933,0,7857,0,512.4813118,0,0,85578,211028,0,179575,401197,19660,112.0016514,0,68,100,0,0,NA
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,0,0,0,294.9587188,94,82,39809,0,0,82618,0,84409,0,491.8560519,0,0,163154,394783,0,336890,789142,39903,196.8973331,0,57,0,0,0,NA
2025-2026,April,15,KARNATAKA,1515,KALABURAGI,573044,0,0,0,130.1387615,73,145,37503,0,0,129786,0,10231,0,341.8671907,0,0,227059,505888,0,431305,900307,37576,211.7284292,0,61,0,0,0,NA
2025-2026,April,15,KARNATAKA,1521,MANDYA,106586,422732.1967,2,0,116.6698521,108,182,20399,9,0,32817,0,1947,0,154.7157498,4,9,114984,279861,0,345200,739783,20507,38.0458977,5,70,96.65,0,0,NA
2025-2026,April,15,KARNATAKA,1525,TUMAKURU,179928,0,0,0,696.3659633,637,184,45366,0,0,72309,0,38131,0,794.6361015,0,0,195524,470493,0,404377,892494,46003,98.2701382,0,65,0,0,0,NA
2025-2026,April,15,KARNATAKA,1530,Yadgir,215806,0,0,0,11.52286384,119,99,25584,0,0,62457,0,35438,0,75.73201224,0,0,146752,297570,0,278431,554940,25703,64.2091484,0,69,100,0,0,NA
2025-2026,April,15,KARNATAKA,1501,BAGALKOTE,438789,1180.119815,8,32,205.259629,706,63,14157,9188,1443,52929,715,23978,0,313.6890376,1066,1658,137524,307156,0,276734,560173,14863,108.4294086,5222,51,30.24,20.48,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,0,0,0,81.73407065,49,51,6467,0,0,67610,0,95880,0,111.2929933,0,0,112738,323992,0,173419,484740,6516,29.5589227,0,38,100,0,0,NA
2025-2026,April,15,KARNATAKA,1506,BIDAR,284739,0,0,0,144.5007629,693,61,41974,0,0,77606,0,52923,0,436.1063706,0,0,153784,304299,0,265951,496656,42667,291.6056077,0,54,80.66,9.49,0,NA
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,77762.18062,10,1,294.9587188,732,48,39255,550,119,82677,140,84525,0,722.6507122,55,97,163330,395161,0,336927,789204,39987,427.6919934,309,58,0.99,0,100,NA
2025-2026,April,15,KARNATAKA,1514,GADAG,896953,12978.9203,8,0,70.80270985,146,41,12672,735,183,52064,145,24813,0,166.1977741,85,135,115072,295723,0,167335,398219,12818,95.3950642,418,66,9.27,3.08,100,NA
2025-2026,April,15,KARNATAKA,1520,KOPPAL,918654,19427.27776,6,4,181.1437378,660,28,24363,3020,363,96517,448,79298,0,767.8475263,432,739,217866,566648,0,323561,842809,25023,586.7037885,1683,53,21.04,28.24,100,NA
2025-2026,April,15,KARNATAKA,1529,RAMANAGARA,176716,85246.30162,3,0,231.7616456,1782,46,26302,136,35,41319,3,4364,0,347.6966158,43,47,120559,270346,0,201832,428983,28084,115.9349702,75,77,50.77,0,100,NA
2025-2026,April,15,KARNATAKA,1503,BENGALURU RURAL,124172,386.2105715,10,99,201.5887891,290,3,7745,54186,7546,21611,3930,7573,0,410.8608494,5104,8013,52180,123248,0,122119,265482,8035,209.2720603,27776,57,50.82,64.33,100,NA
2025-2026,April,15,KARNATAKA,1505,BALLARI,1060686,200.0042693,10,124,81.73407065,67,23,6930,61062,7367,67747,24100,95936,0,203.8606775,5587,10553,112899,324330,0,174055,486134,6997,122.1266069,33531,37,76.49,95.67,100,NA
2025-2026,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,171383,569.6969626,10,57,111.5016603,239,10,16293,74702,21602,67641,5745,24896,0,537.0766853,7389,11081,97729,233007,0,224888,516249,16532,425.575025,42458,66,21.81,68.12,100,NA
2025-2026,April,15,KARNATAKA,1524,SHIVAMOGGA,252823,322.0706843,8,111,143.1896847,610,8,7628,158192,31508,77551,9244,17093,0,652.6797416,18073,27456,130043,338239,0,249603,573314,8238,509.4900569,87384,68,32.46,83.18,100,NA
2025-2026,April,15,KARNATAKA,1501,BAGALKOTE,438789,382.9993405,9,230,205.259629,843,15,14127,80179,11335,53061,7316,24075,0,512.3446702,8478,12759,137862,307964,0,276853,560541,14970,307.0850412,47370,52,18.6,71.75,100,NA
2025-2026,April,15,KARNATAKA,1510,CHITRADURGA,153154,1522.337962,9,11,294.9587188,2131,27,36991,35143,5944,82688,5322,84531,0,829.9539487,3638,5785,163348,395260,0,337032,789447,39122,534.9952299,19155,58,25.16,47.26,100,NA
2025-2026,April,15,KARNATAKA,1511,DAKSHINA KANNADA,101087,317.9037961,15,9,63.75628316,1214,4,11212,50881,1987,8629,2374,8734,0,225.5089137,3384,5609,55596,130364,0,172190,362227,12426,161.7526305,25993,87,83.83,78.87,100,NA
2025-2026,April,15,KARNATAKA,1514,GADAG,896953,564.6012285,10,38,70.80270985,189,25,12791,32478,6588,52171,2259,24868,0,254.1738969,3086,5528,115175,296384,0,167596,399171,12980,183.371187,15859,65,10.09,60.96,100,NA
2025-2026,April,15,KARNATAKA,1502,BENGALURU,3073,271.1064815,12,0,16.85159109,41,71,1222,216,5,2364,0,283,0,17.43718109,18,29,5285,11849,0,63012,140967,1263,0.58559,91,80,100,0,100,NA
