fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Feb,15,KARNATAKA,1501,BAGALKOTE,4600097,261.7060292,47,1861,5367.063981,18612,0,14069,4586467,723018,50612,287584,21030,267.5,17637.62465,97179,171314,130123,298393,9293,229860,503488,32681,12003.06067,2212169,74,53.3,63.09,101.02,NA
2020-2021,Feb,15,KARNATAKA,1511,DAKSHINA KANNADA,1564084,263.6031218,49,101,1614.557338,8091,0,17541,1562194,100646,14788,103549,12389,255.92,5988.469491,31392,56571,65637,153049,1964,141540,313643,25632,4117.992153,679474,90,73.66,63.79,100.29,NA
2020-2021,Feb,15,KARNATAKA,1522,MYSURU,3937864,271.9511414,43,272,3629.922281,9945,0,16109,3928178,635930,74370,376431,43845,8,14320.64719,89682,178338,144573,381257,3385,297739,778145,26054,10682.72491,1852400,79,63.36,61.5,104.99,NA
2020-2021,Feb,15,KARNATAKA,1527,UTTARA KANNADA,1609494,273.9363399,34,146,1921.224247,7194,0,11536,1606759,116838,15368,80893,8504,270,6592.721043,47038,82353,79999,204351,1422,172920,408787,18730,4401.496796,785982,82,62.55,61.99,100.83,NA
2020-2021,June,15,KARNATAKA,1517,HAVERI,1548768,234.3388894,30,247,1378.841592,1706,0,29924,1548019,225639,52498,204542,40412,0,5006.452124,51215,99084,136249,347823,44,225513,549388,31630,3627.610532,689630,81,62.94,64.09,104.05,NA
2020-2021,June,15,KARNATAKA,1528,CHIKKABALLAPURA,1995766,218.7094554,32,1902,2658.236788,2552,0,28706,1987518,391283,73704,260838,45994,0,7005.126582,60409,114209,121732,323294,164,194720,503921,31258,4346.889794,971032,78,87.61,89.01,100.67,NA
2020-2021,June,15,KARNATAKA,1529,RAMANAGARA,3244810,213.7504444,45,229,0,1494,0,17176,3244632,438456,49857,50232,5076,0,6935.415318,70609,129928,131895,317457,425,179810,425258,18670,6935.415318,1597314,71,82.71,82.43,99.93,NA
2020-2021,May,15,KARNATAKA,1501,BAGALKOTE,616530,189.9098535,17,572,215.6006381,1788,0,16896,616021,86075,47413,35493,19987,0,1385.485217,34262,55284,120481,281057,4,209555,468916,18684,1169.884579,290530,64,50.96,56.17,100.12,NA
2020-2021,May,15,KARNATAKA,1507,VIJAYPURA,840283,182.6857839,22,213,388.4386247,1296,4,20600,839920,149365,63747,9965,4202,0,1922.853061,36603,59934,134159,318239,24,261528,655480,21896,1534.414436,360780,71,80.25,84.55,100.35,NA
2020-2021,May,15,KARNATAKA,1517,HAVERI,891602,196.5213351,23,179,79.22756872,1225,0,29032,891142,131834,52083,120165,40138,0,1830.511725,37455,70853,134751,344705,8,222743,543750,30257,1751.284156,398409,81,55.91,55.6,101.33,NA
2020-2021,May,15,KARNATAKA,1526,UDUPI,229897,195.5057869,28,20,163.5923355,476,1,5630,229805,10555,4570,8985,4401,30,642.8744091,7999,13752,30434,74523,34,72853,160815,6106,449.2820736,146051,94,87,76.86,100.05,NA
2020-2021,May,15,KARNATAKA,1527,UTTARA KANNADA,493419,191.3598372,21,50,22.00875729,836,0,11655,493419,33740,15253,27446,8324,0,966.2145525,22892,37367,78075,200853,1,164907,394345,12491,944.2057952,248496,78,60.87,68.65,99.83,NA
2020-2021,May,15,KARNATAKA,1528,CHIKKABALLAPURA,805963,195.1222585,25,985,2150.721682,1350,0,21318,803300,155078,72430,105722,45363,0,3718.138785,32092,58066,118305,316258,24,190125,494685,22668,1567.417102,390913,74,84.82,83.36,100.57,NA
2020-2021,Nov,15,KARNATAKA,1506,BIDAR,3011194,268.4902633,33,263,3283.714506,8481,0,11023,3004125,877343,77332,511582,44567,127.04,11476.53763,89062,151246,129518,276957,157,206226,420433,19504,8065.783122,1620472,63,74.72,78.78,103.93,NA
2020-2021,Nov,15,KARNATAKA,1508,CHAMARAJA NAGARA,3201495,267.1961739,34,664,3764.25422,6586,0,7591,3164237,852680,84341,306134,31791,178.89606,12397.87048,92279,159185,123969,296981,548,207403,492103,14177,8454.720197,1643307,74,76.51,70.99,108.63,NA
2020-2021,Nov,15,KARNATAKA,1509,CHIKKAMAGALURU,2359509,264.1364618,43,193,3163.445452,8264,0,27724,2359360,365481,43418,70070,8675,186.45,9581.825478,54844,107454,89953,221394,632,154282,362932,35988,6231.930026,1102522,68,76.6,76.77,100.02,NA
2020-2021,Nov,15,KARNATAKA,1511,DAKSHINA KANNADA,1124053,258.88967,44,73,511.1894736,6020,0,17073,1123604,74563,14758,75667,12341,158.54,3578.624162,25288,45034,64902,151628,418,139129,308928,23093,2908.894688,482907,89,71,62.85,100.13,NA
2020-2021,Nov,15,KARNATAKA,1519,KOLAR,4822298,266.8905852,49,557,8244.008517,8965,0,14728,4821021,1134167,92125,295903,22209,381.27909,21492.13876,96603,171955,129917,347985,789,225571,581303,23693,12866.85116,2388272,79,76.1,79.76,100.82,NA
2020-2021,Nov,15,KARNATAKA,1529,RAMANAGARA,7326705,269.6190321,66,417,2932.580861,8564,0,15697,7323886,1031258,51096,116041,5192,0,22679.17141,110931,209371,137306,326404,3532,193168,446628,24261,19746.59055,3609078,73,87.37,84.18,99.86,NA
2020-2021,Dec,15,KARNATAKA,1520,KOPPAL,4572461,263.2324349,38,1633,3066.082931,13714,0,12597,4567950,761071,88830,687998,74776,302.92,15393.32894,119639,245185,166345,515784,1000,280816,854856,26311,12024.32601,2252663,77,80.15,79.75,100.7,NA
