fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,15,KARNATAKA,1505,BALLARI,5369975,284.1125176,51,2035,2089.617212,9567,0,8057,5212787,1024059,69691,1634518,97979,477.32602,17377.12362,100998,218816,115967,333138,1011,170151,479286,17624,14810.18038,2816820,44,39.72,32.46,99.92,NA
2024-2025,Dec,15,KARNATAKA,1507,VIJAYPURA,3453504,346.3013477,39,1181,4025.502312,21389,1,33099,3122731,567067,66199,59410,5962,754.79575,15594.3576,80069,123557,154251,327018,925,351446,772174,54488,10814.05954,1653745,73,57.92,23.93,99.97,NA
2024-2025,Dec,15,KARNATAKA,1514,GADAG,2959435,331.9449432,31,1113,2523.065768,25739,0,11425,2749708,434242,55859,236838,25847,469.29284,12119.87527,88439,187068,122560,310990,138,165148,393271,37164,9127.516659,1375755,71,19.54,64.89,99.94,NA
2024-2025,Dec,15,KARNATAKA,1517,HAVERI,3902654,336.2751659,40,471,6298.310076,29505,0,20373,3309071,474794,54858,436835,44064,542.2805,17968.17457,82582,153256,155181,377371,605,273136,621065,49878,11127.58399,1613639,69,34.87,33.2,100.25,NA
2024-2025,Dec,15,KARNATAKA,1523,RAICHUR,8910484,277.1343837,42,1061,7516.368978,33608,0,32046,9928781,1770271,125070,2386156,154408,928.20897,35960.64398,233487,457686,283300,658555,868,373461,838051,65654,27516.06603,5186263,61,24.5,56.7,99.85,NA
2024-2025,Dec,15,KARNATAKA,1524,SHIVAMOGGA,2424119,325.6936637,26,492,2761.271278,15194,0,10378,1922976,438421,84189,105527,18669,586.44478,9610.727045,72190,122961,146156,374282,166,248555,570424,25572,6263.010987,1051427,76,38.79,39.51,100.07,NA
2024-2025,Dec,15,KARNATAKA,1527,UTTARA KANNADA,1396296,343.2646778,31,120,2474.739437,13776,0,18779,1266174,74968,14922,48833,8084,455.39775,7276.465289,39662,66900,88876,222929,115,204756,453052,32555,4346.328102,685106,79,33.67,24.92,100.02,NA
2024-2025,Dec,15,KARNATAKA,1529,RAMANAGARA,3570787,347.4818021,44,277,7814.961208,34094,1,25768,3006094,422325,50326,47209,5228,535.02513,18795.61594,66851,110074,141401,312565,527,201321,428373,59862,10445.6296,1607644,83,44.6,26.22,99.94,NA
2024-2025,Dec,15,KARNATAKA,1530,Yadgir,3927400,339.3308267,31,518,1203.893276,37508,0,24889,2979140,563068,65984,361228,36543,0,11313.03367,93631,145026,155058,308786,236,275346,547341,62397,10109.14039,1570389,80,51.98,41.3,99.89,NA
2024-2025,Dec,15,KARNATAKA,1501,BAGALKOTE,4191276,321.0568596,35,1993,3305.324587,13692,0,17027,3292594,550716,59378,261392,26187,646.11208,14522.53556,91573,156401,154281,340053,618,275515,558901,30719,10571.09889,1824301,59,31.65,48.96,100,NA
