fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,March,15,KARNATAKA,1515,KALABURAGI,7884609,286.560521,40,736,3674.30474,18196,2,48150,8436047,1900929,126666,121630,7111,654.88537,28503.57035,207704,373110,232861,517362,13697,407661,904116,66346,24174.38024,4348777,61,72.41,80.52,100.34,NA
2021-2022,March,15,KARNATAKA,1526,UDUPI,907904,298.500553,40,66,834.4054303,5456,0,10353,925215,43824,5124,42653,5042,152,3748.177321,22901,41963,38411,92391,428,107342,222559,15809,2761.771891,566895,88,80.6,65.48,99.99,NA
2021-2022,March,15,KARNATAKA,1529,RAMANAGARA,7825102,287.8968693,62,502,3922.619064,15528,0,79602,7853836,1097375,52742,127739,5551,323.96,26857.52703,125842,234243,146373,333677,3353,205582,467922,95130,22610.94796,3948137,87,80.7,70.97,100.1,NA
2021-2022,Nov,15,KARNATAKA,1506,BIDAR,4462901,286.5583081,39,510,3509.632327,9133,0,21292,4443296,1040656,77033,734182,47846,220.73,16462.99617,112304,193082,141661,289460,486,237646,478672,30425,12732.63384,2312625,58,61.31,69.18,102.53,NA
2021-2022,Nov,15,KARNATAKA,1513,DHARWAR,2340500,285.0681037,41,205,2289.798327,14655,1,15956,2326954,192943,17891,123320,12343,278.18669,9201.388659,56384,110765,81056,218863,458,153728,395689,30611,6633.403642,998584,85,60.37,59.96,100.66,NA
2021-2022,Nov,15,KARNATAKA,1514,GADAG,3478996,287.968088,37,1064,2273.336767,8238,0,9377,3458744,574867,52623,284432,23747,324.25,12557.66573,92997,195731,118032,307112,442,160241,409549,17615,9960.078965,1588467,65,78.29,82.83,100.36,NA
2021-2022,Nov,15,KARNATAKA,1515,KALABURAGI,5551496,286.1296225,29,645,3245.247009,8221,2,47281,5509375,1294596,126028,77582,7030,369.15,19378.3509,184608,328753,231041,514386,652,400511,893722,55502,15763.95389,2832899,62,77.68,86.54,100.38,NA
2021-2022,Nov,15,KARNATAKA,1524,SHIVAMOGGA,3121205,287.2383197,31,627,4028.423571,11402,1,14519,3115189,608957,86235,146264,19107,252.98661,13229.42672,99973,181944,159482,404325,474,234962,559906,25921,8948.01654,1537477,75,78.27,81.51,100.72,NA
2021-2022,Oct,15,KARNATAKA,1501,BAGALKOTE,4427406,276.8448271,38,2616,2917.521515,15849,0,23362,4415376,695531,56648,282201,23374,411.44,15552.70157,113295,199931,150867,336702,869,252434,548844,39211,12223.74005,2244635,71,50.77,64.77,99.93,NA
2021-2022,Oct,15,KARNATAKA,1504,BELAGAVI,9556285,275.6829288,36,2383,12206.95778,29496,1,92518,9522441,875245,99356,941866,74588,710.08001,39168.78203,262315,416063,403756,896185,1145,759050,1639059,122014,26251.74424,4888716,75,47.24,67.38,101.49,NA
